type,id,in_reply_to_status_id,text,favorite_count,retweet_count,label_a,label_b
reply,529696619244306432,529695367680761856,$MENTION$ $HASHTAG$ $HASHTAG$ it's my Birthday ohhhh I would love to see my all time fav $EMOJI$️$EMOJI$️$EMOJI$️please get me in!,1,0,3,
reply,529697981751373824,529696892851347458,$MENTION$ $MENTION$ Massey Hall tix $NUMBER$$? $HASHTAG$,1,0,3,
reply,529696091638620160,529695367680761856,"$MENTION$ Love Prince, he was my first concert!! $HASHTAG$",1,0,3,
reply,529696892851347458,529695367680761856,$MENTION$ Where??? $HASHTAG$,1,0,1,
reply,529701086815592449,529695367680761856,$MENTION$ I want tickets so bad!,0,0,3,
source,529695483661664257,0,Clearly prince is having a show in $HASHTAG$ $MENTION$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$,4,8,0,0
reply,529708506111549440,529695483661664257,$MENTION$ Enjoyyyyyy I'm jealous $EMOJI$$MENTION$,0,0,3,
reply,529705003758665729,529701933301653505,$MENTION$ $MENTION$ $MENTION$ $MENTION$ I can't go lol I have to work or I would should be amazing.,0,0,3,
reply,529702311111983104,529701933301653505,$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ and boy did we know how to queue mate.,1,0,3,
reply,529703489107423233,529701933301653505,$MENTION$ $MENTION$ $MENTION$ $MENTION$ I hope you enjoy! Only slightly jealous $EMOJI$,1,0,3,
reply,529701933301653505,529695483661664257,"$MENTION$ $MENTION$ $MENTION$ If there's one thing $MENTION$ fans love more than the music, it's queueing!",4,1,3,
reply,529702566104678401,529701933301653505,$MENTION$ $MENTION$ $MENTION$ $MENTION$ very very true hope it's a heck of a concert.,1,0,3,
source,529739968470867968,0,"Prince not playing Massey Hall tonight, promoter says $URL$ $URL$C",8,26,2,0
reply,529740822238232577,529739968470867968,"athenaph what tease!!! RT $MENTION$: Prince not playing Massey Hall tonight, promoter says $URL$",0,0,0,
reply,529741502323621890,529739968470867968,$MENTION$ Of course not. I can't make it tonight. But Saturday.....,0,0,0,
reply,529741574742507520,529739968470867968,$MENTION$ lol.,0,0,3,
reply,529827763855704064,529739968470867968,$MENTION$ $MENTION$ $EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$$EMOJI$O(+&gt;,0,0,3,
reply,529748991849013248,529739968470867968,"$MENTION$ And, ... ? When $MENTION$ asked Live Nation why no one made this clarification $NUMBER$ or $NUMBER$ hours earlier?",0,0,1,
reply,529746860714758145,529739968470867968,"“$MENTION$: Prince not playing Massey Hall tonight, promoter says $URL$ $URL$ good. I was feeling bitter.",0,0,3,
reply,529743000247992320,529739968470867968,$MENTION$ good $SMILEY$,0,0,1,
reply,529740809672077313,529739968470867968,".$MENTION$ I can also confirm he will not be playing in Rankin Inlet, NU either",2,0,2,
reply,529745508148203523,529739968470867968,"WTW?! $MENTION$: Prince not playing Massey Hall tonight, promoter says $URL$ $URL$",0,1,2,
source,529540733020405760,0,"PRINCE IN TORONTO TONIGHT: $MENTION$ tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on!",7,3,0,0
reply,529590746018754560,529541029910044672,$MENTION$ $MENTION$ $MENTION$ I wld def go if I was only $NUMBER$ hrs away. I once flew $NUMBER$ hrs $NUMBER$ C him in Vegas. Best night of my life!,0,0,3,
reply,529548830287876096,529546994520694784,$MENTION$ and oh my god the show already sold out in Toronto?!?! damn.,0,0,1,
reply,529542083405955072,529541029910044672,$MENTION$ $MENTION$ get on board the seduction $NUMBER$....,2,0,3,
reply,529550553773506560,529550101925343233,"$MENTION$ ohhhh! alright! I was confused because it said ""no longer on sale""!",0,0,3,
reply,529546994520694784,529542544573865985,$MENTION$ if you can make it tonight - do it $SMILEY$,1,0,3,
reply,529550101925343233,529548830287876096,$MENTION$ I don't think it's even been on sale yet,1,0,0,
reply,529657666843721729,529574549340553216,$MENTION$ $MENTION$ $MENTION$ no moneyyyyy $SMILEY$,0,0,3,
reply,529542544573865985,529542083405955072,"$MENTION$ $MENTION$ I only wish. The Commodore Ballroom is calling Prince's name with Vancouver, he'll be back around… hopefully!",1,0,3,
reply,529547352907218944,529546994520694784,"$MENTION$ I doubt it! I don't got the money to go all the way out there! If I did, I definitely would! It would be fun! $SMILEY$",0,0,3,
reply,529660640575897600,529657666843721729,$MENTION$ $MENTION$ $MENTION$ oh no$SMILEY$,0,0,3,
reply,529661580649459712,529660640575897600,$MENTION$ $MENTION$ $MENTION$ $SMILEY$,0,0,3,
reply,529541029910044672,529540733020405760,$MENTION$ $MENTION$ it's a four hour flight from Vancouver to Toronto and I'm so tempted lol,5,2,3,
reply,529658081840746496,529590746018754560,$MENTION$ $MENTION$ $MENTION$ it's across the country and $NUMBER$ hours away lol and it's like $300 I think,0,0,0,
reply,529574549340553216,529541029910044672,$MENTION$ $MENTION$ $MENTION$ go!!!!! I would if I could!!,0,0,3,
source,529654186791944192,0,Prince rumoured to be performing in surprise show in Toronto $URL$c $URL$2,5,11,0,0
reply,529655597114085376,529654186791944192,"$MENTION$ Next, maybe Vancouver, B.C?",0,0,1,
reply,529680820324560897,529654186791944192,$MENTION$ hahahaha well it's not much of a surprise now is it!? $SMILEY$,0,0,3,
reply,529655944066912257,529654186791944192,Exciting! Anyone going? RT $MENTION$ Prince rumoured to performsurprise show in Toronto $URL$ $URL$,7,3,3,
reply,529658952519540736,529654186791944192,“$MENTION$: Prince rumoured to be performing in surprise show in Toronto $URL$ $URL$ How cool!,0,0,3,
reply,529654399455727617,529654186791944192,$MENTION$ I guess it's no longer a surprise.,0,0,3,
reply,529654334456598529,529654186791944192,$MENTION$ hey $MENTION$ ^^^^,1,0,3,
reply,529680436121702400,529654186791944192,$MENTION$ who cares!!!!,0,0,3,
reply,529664081100562432,529654186791944192,$MENTION$ he's still alive???,0,0,1,
reply,529655164828139522,529654186791944192,"$MENTION$ IF this were to be happening on Thursday, would consider flying Vancouver to To. in hopes of seeing him live. $HASHTAG$",0,0,3,
reply,529671977662185473,529655944066912257,$MENTION$ I'll definitely be trying to get tix today!,1,0,3,
source,529720273285566464,0,"In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.",49,234,0,0
reply,529722000076718082,529720273285566464,This is what it feels like/when doves cry RT $MENTION$: we can confirm that Prince will not be performing at $MENTION$ tonight.,17,32,3,
reply,529722084600320001,529720273285566464,$MENTION$ Soo... Its tomorrow night!? $HASHTAG$ $MENTION$,0,0,1,
reply,529723119913951232,529720273285566464,$MENTION$ $MENTION$ Tomorrow Night?,0,0,1,
reply,529721379302952961,529720542925176832,$MENTION$ $MENTION$ $MENTION$ thank you for that tweet!! MUCHO APPRECIATEO,1,0,0,
reply,529722570460123136,529721493962641408,$MENTION$ maybe tomorrow?,0,0,1,
reply,529723719552618496,529722000076718082,$MENTION$ $MENTION$ $MENTION$ aw man! That got my funny bone!,0,0,3,
reply,529720506602516480,529720273285566464,"“?!?!? $MENTION$ $MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.”",0,0,1,
reply,529722617318899712,529720273285566464,$MENTION$ $MENTION$ it's probably $MENTION$,0,0,3,
reply,529723695989002241,529720273285566464,"“$MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.” $MENTION$",0,0,0,
reply,529722739196985345,529720506602516480,"$MENTION$ ""Change of plans."" Hmmm. $URL$",0,0,3,
reply,529722212706971648,529722000076718082,$MENTION$ $MENTION$ $MENTION$ WHAT THE HELL EVEN JUST HAPPENED TODAY,1,0,3,
reply,529721493962641408,529721009172410369,$MENTION$ But $NUMBER$rd Eye Girl will be? Did you ask LN if The Artist Formerly Known As $HASHTAG$ is playing?,4,0,3,
reply,529720542925176832,529720273285566464,"“$MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.” $MENTION$",2,2,3,
reply,529721182468444160,529720273285566464,"Poor suckers in line! “$MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.”",0,0,3,
reply,529723588413489152,529720273285566464,$MENTION$ $MENTION$ What about tomorrow night? $HASHTAG$ in $HASHTAG$ still a possibility?,0,0,1,
reply,529721009172410369,529720273285566464,"Err, twist? RT $MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.",0,0,0,
reply,529723713701543938,529720273285566464,"There ya go. $MENTION$ RT $MENTION$: In response to inquiries, we can confirm that Prince will not be performing at $MENTION$ tonight.",1,1,3,
source,524990163446140928,0,"Police have clarified that there were two shootings in Ottawa today, not three: at the War Memorial and Parliament Hill.",70,273,2,0
reply,524990764049522688,524990163446140928,$MENTION$ get it right. $URL$9,0,0,2,
reply,524990563217838081,524990163446140928,"$MENTION$ you guys ""confirmed"" there were $NUMBER$ shootings not long ago. How about you wait for official reports before saying things.",0,0,0,
reply,525003827494531073,524990163446140928,$MENTION$ $MENTION$ so what happened at Rideau? Nothing?,0,0,1,
reply,524992704673890304,524990163446140928,"$RESERVED$ $MENTION$ Police have clarified that there were two shootings in Ottawa today, not three: at the War Memorial and Parliament Hill. $HASHTAG$",0,0,2,
source,524947416869388288,0,Reports now that $NUMBER$nd shooter has been shot in downtown Ottawa $HASHTAG$,101,237,0,0
reply,524956595588194305,524947416869388288,$MENTION$ live news just reported cops yelling at people to run. Must be a third shooter!,0,0,3,
reply,524947580149825537,524947416869388288,$MENTION$ $HASHTAG$,0,0,3,
reply,524947672822988800,524947416869388288,$MENTION$ good!!! $EMOJI$,0,0,3,
source,524942470472548352,0,"The University of Ottawa, just a five minute walk from the Hill, is now on lockdown.",7,101,0,1
reply,524943159726309376,524942470472548352,$MENTION$ $MENTION$ God Bless Heather !!,0,0,3,
reply,524943410520924161,524942470472548352,"My Alma Mater. God. RT $MENTION$: The University of Ottawa, just a five minute walk from the Hill, is now on lockdown.",0,0,3,
reply,524944078870700032,524942470472548352,$MENTION$ $MENTION$ is $NUMBER$ km from nasty parliament not $NUMBER$ minute only chita to can run $NUMBER$ km an hours,0,0,3,
source,525032872647065600,0,"BREAKING: Michael Zehaf-Bebeau had been designated ""high-risk traveller"" by CDN govt, which confiscated his passport $URL$",19,121,0,2
reply,525035256361934848,525033642939416576,Yes$SMILEY$ except in Australia there's a discussion to let 'sympathizers' reenter OZ to rehabilitate! WTF! $MENTION$ $MENTION$ $MENTION$,0,0,2,
reply,525038702607994880,525032872647065600,$MENTION$ $MENTION$ They must put high risk travelers in civilian detaine camps to prevent attacks.US does this with suspect japs in WWII,0,0,3,
reply,525034548196024320,525034442104901632,"$MENTION$ $MENTION$ yes, but CSIS can't watch that many $NUMBER$/7",1,0,1,
reply,525035734403530752,525034548196024320,micro chip them - Just an uncivil thought $SMILEY$ $MENTION$ $MENTION$,1,0,2,
reply,525049059321462784,525048948386299904,$MENTION$ no info yet,0,0,3,
reply,525062791712235520,525032872647065600,"$MENTION$ A high risk traveller! But a risk to $HASHTAG$ and government officials , he was okay ?",0,0,3,
reply,525033513062371328,525032872647065600,$MENTION$ $MENTION$ How come we have to pussy foot around terrorism for hours before calling what it is.,1,0,3,
reply,525040767270543360,525040562765053952,$MENTION$ sure looks like one,0,0,1,
reply,525033642939416576,525032872647065600,$MENTION$ $MENTION$ maybe we should start revoking passports AFTER they leave...,4,1,0,
reply,525040309097336832,525032872647065600,"$MENTION$ $MENTION$ It makes more sense to let them leave, and invalidate their passports before they return.",0,0,3,
reply,525040562765053952,525032872647065600,$MENTION$ the incident yesterday (car) in Canada was that a terrorist attack as well?,0,0,0,
reply,525034442104901632,525032872647065600,If Michael Zehaf-Bebeau had his passport confiscated doesn't it make sense to track his movements - was this done? $MENTION$ $MENTION$,0,0,1,
reply,525048948386299904,525032872647065600,"$MENTION$ Oh, so they already know where Z-B had gone to? Any travels to the Levant recently?",0,0,3,
reply,525035264826413056,525032872647065600,$MENTION$ $MENTION$ and $MENTION$ still refuses to call it terrorism!,0,0,3,
reply,525033521837273088,525032872647065600,$MENTION$ Pathetic.,0,0,0,
source,524925050739490816,0,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa $URL$,28,271,0,1
reply,524925341316689920,524925050739490816,$MENTION$ $EMOJI$ why!!!,0,0,1,
reply,524930718645092353,524925050739490816,"Christ. Ottawa friends, stay safe $EMOJI$️ ""$MENTION$: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa $URL$",0,0,3,
reply,524930352000036864,524925050739490816,$MENTION$ yessss!!,0,0,0,
reply,524932019248463872,524925050739490816,$MENTION$ $MENTION$ $NUMBER$nd ISIS attack in Canada in two days,0,0,3,
reply,524926357927903232,524925050739490816,Bizar..Gister Montréal vandaag Ottawa. $MENTION$: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa $URL$,0,0,3,
reply,524925775678816256,524925050739490816,"Lord, have mercy. Protect those who protect us ""$MENTION$: Soldier shot at National War Memorial in Ottawa $URL$",1,2,3,
reply,524925553070329856,524925050739490816,$MENTION$,0,0,3,
reply,524926310565814272,524925050739490816,“$MENTION$: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa $URL$. Be safe out there folks in Uniform,0,0,3,
reply,524926071599534080,524925050739490816,Ondertussen in Canada... “$MENTION$: BREAKING NEWS: Soldier shot at National War Memorial in Ottawa $URL$,0,1,0,
reply,524929224260714499,524925050739490816,$MENTION$ $MENTION$ $EMOJI$omg hope !!!!!!,0,0,3,
reply,524929840173309952,524925050739490816,$MENTION$ $MENTION$ And this: $URL$,0,0,3,
source,525028734991343617,0,CTV News confirms that Canadian authorities have provided US authorities with the name Michael Zehaf-Bibeau in connection to Ottawa shooting,54,134,0,1
reply,525034956691869696,525030173914431488,$MENTION$ $MENTION$ as part of a co-op criminal investigation one would $URL$ doesn't need facts to write stories it appears.,0,0,1,
reply,525030166687670272,525028734991343617,$MENTION$ I think that soldiers should be armed and wear protective vests when they are on guard any where.,2,0,3,
reply,525032614697385984,525028734991343617,$MENTION$ OK now let's swoop in on all who knew him!,0,0,0,
reply,525036486337757185,525028734991343617,$MENTION$ That name should not be mentioned again.,1,0,3,
reply,525030173914431488,525028734991343617,$MENTION$ USA come before canadian media,0,0,3,
source,524959809402331137,0,Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog: $URL$,181,407,0,1
reply,524960359388823552,524959809402331137,“$MENTION$: Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog: $URL$C,0,0,0,
reply,524985774224048129,524960034305114113,$MENTION$ you're a scumbag for trying to profit off a tragedy.,0,0,3,
reply,524961643688890368,524959809402331137,$MENTION$ US official - whatever. Take your source from the Canadian government what has your channel become,0,0,3,
reply,524960004529737728,524959809402331137,"$MENTION$ $MENTION$: Police - more than $NUMBER$ suspect, downtown remains in lockdown. LA $URL$ $URL$",0,0,2,
reply,524959988956291074,524959809402331137,$MENTION$ War Memorial Soldier pronounced dead just now.,0,3,0,
reply,524960274156371968,524959809402331137,Scary situation. RT $MENTION$ U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. $URL$,0,0,3,
reply,524960862248132608,524959809402331137,$MENTION$ Police searching and firing on Parliament Hill $URL$,0,0,0,
reply,524961297721749505,524959809402331137,$MENTION$ There is no proof yet that the shooter(s) has anything to do with ISIL but A BANFIELD &amp; CNN are already dropping that scare message,0,1,1,
reply,524960034305114113,524959809402331137,$MENTION$ PLEASE help us spread the word for our fundraiser to kickstart our company $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$,1,1,0,
reply,524961861406838784,524959809402331137,$MENTION$ we need d I.D of the shooter,0,0,1,
reply,524960144632070145,524959809402331137,$MENTION$ I hate to say that but maybe we should let Assad finish the job over there,0,0,1,
reply,524960960227078144,524959809402331137,"$MENTION$ looks like Canada caught a case of the United States , $EMOJI$",0,1,3,
reply,524960933211168770,524959809402331137,$MENTION$ Replies $NUMBER$ this English post really need to be in English. Especially when the world is assuming this is yet another act of terror.,0,0,2,
reply,524960409602650113,524959809402331137,"$MENTION$ those gun crazy canadians need to be stopped, destroy all donuts",0,1,3,
reply,524961093496885248,524959809402331137,$MENTION$ The world has gone $HASHTAG$. $URL$,0,0,3,
reply,524960097563590656,524959809402331137,$MENTION$ So sad. This is not right. $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$,0,0,0,
source,524948206023880704,0,"The latest $MENTION$ on $HASHTAG$ shootings. Gunman killed inside Parliament, soldier shot at War Memorial. $URL$ $HASHTAG$",60,403,0,1
reply,524999801973506048,524999012538408963,$MENTION$ $MENTION$ $MENTION$ And the news I'm watching right now are saying so much different than what you're posting in here LOL,0,0,0,1
reply,524978844155912193,524948206023880704,$MENTION$ $MENTION$ whats happening at the Ottawa Airport.,0,0,0,1
reply,524951904212615168,524948206023880704,$MENTION$ tragic. Stay safe our law informers and partner dogs,0,0,0,1
reply,524996856431251456,524996510132744192,$MENTION$ $MENTION$ $MENTION$ Better not believe what we read on internet... or Tweeter LOL,0,0,0,1
reply,524997490035404800,524997088325955584,"$MENTION$ $MENTION$ $MENTION$ We, or better say, NOBODY can say for sure if these attack were jihadists acts or a crazy canadian...",0,0,0,1
reply,524952081036496897,524948206023880704,"“$MENTION$: The latest $MENTION$ on $HASHTAG$ shootings. Gunman killed inside Parliament, soldier shot at War Memorial. $URL$",0,0,0,1
reply,524950833088458752,524948450665050112,$MENTION$ This is what happens when you have a Dicktator for a leader! People get crazy when SH pokes his nose where it doesn't belong!,0,0,0,1
reply,524951832280707073,524948206023880704,$MENTION$ $MENTION$ let's cancel moose hunting for Isis hunting$HASHTAG$ religion,0,0,0,1
reply,524952544595177474,524948206023880704,$MENTION$ $MENTION$ $MENTION$ Round up these assholes and send them all to hell...,0,0,0,1
reply,524996329307906048,524948206023880704,"$MENTION$ $MENTION$ $MENTION$ There were two gunmen apparently. One was shot dead, the other is still at large. according to Sun News",0,0,0,1
reply,524998424379523072,524998076164214784,$MENTION$ $MENTION$ $MENTION$ Like I said before... I don't believe what I read on internet or Tweeter or FB... LMAO $SMILEY$,0,0,0,1
reply,524998076164214784,524997490035404800,"$MENTION$ $MENTION$ $MENTION$ The one yesterday we sure can, Todays remains to be confirmed, but prob. is as well, not that cbc wld say",0,0,0,1
reply,524951432332451840,524948206023880704,$MENTION$ $MENTION$ glad the shooter is dead. Praying for our security personnel Praying for Canada now.,0,0,0,1
reply,524997088325955584,524948206023880704,"$MENTION$ $MENTION$ $MENTION$ There are tons of Jihadists in Canada. Que., Ont. $URL$ border in buffalo is a Muzzie corridor",0,0,0,1
reply,524999012538408963,524998424379523072,"$MENTION$ $MENTION$ $MENTION$ One parelent guard was killed today, two wounded. Attack was from $NUMBER$ gunmen",0,0,0,1
reply,524948450665050112,524948206023880704,$MENTION$ $MENTION$ wtf this is canada,0,0,0,1
reply,524948710942588928,524948206023880704,$MENTION$ $MENTION$ any word on the condition of the soldier?$EMOJI$,1,0,0,1
reply,524949649065779201,524948206023880704,$MENTION$ $MENTION$ Everything has changed now..God be with us as we change everything and stand on guard for Canada.,0,0,0,1
reply,524948601831956480,524948206023880704,$MENTION$ $MENTION$ RT PRAY FOR OUR SOLDIER,0,2,0,1
reply,524950324604592128,524948206023880704,"“$MENTION$: $HASHTAG$ shootings. Gunman killed inside Parliament, soldier shot at War Memorial."" $MENTION$ U OK? $EMOJI$$EMOJI$ $HASHTAG$",1,0,0,1
reply,524979403403444224,524948206023880704,$MENTION$ $MENTION$ I wirk security so am imagining what must be happening there abd the airport.,0,0,0,1
reply,524977952505606144,524948206023880704,$MENTION$ $MENTION$ we love our country and military personnel !! Keep safe,0,0,0,1
reply,524950962373287936,524948206023880704,"$MENTION$ $MENTION$ $MENTION$ Obviously, I spoke too soon. They got him. Good job. Hope the soldier is OK.",0,0,0,1
reply,524996510132744192,524948206023880704,"$MENTION$ $MENTION$ $MENTION$ One parlemetry guard was shot dead, two other wounded",0,0,0,1
source,524993533212897281,0,"FBI assisting in the case of the Ottawa shooting, sources have confirmed to CTV News",89,228,0,2
reply,525031764155453441,524993533212897281,$MENTION$ I want answers Why did I get netter News fom CNN And CBS ???,0,0,1,
reply,525023033585827840,524993533212897281,$MENTION$ shooting suspect $URL$,0,0,3,
reply,524994741180846080,524993533212897281,$MENTION$ thankfully the FBI is really good with lots of resources,0,0,3,
reply,524993786276220928,524993533212897281,$MENTION$ WHY??? its not their country,0,0,3,
reply,524995135822905345,524993786276220928,$MENTION$ $MENTION$ When it comes to security were all in it together you dope. In times of crisis we are as one.,1,0,3,
reply,524994366541398017,524993786276220928,"$MENTION$ because it is a possible terrorist threat that could e$SMILEY$and into the US, and they are our closest (literally) allies.",5,0,0,
source,525056576038518785,0,Soldier killed in Canada shooting was a young reservist with a six-year-old son $URL$ $URL$,416,1082,0,1
reply,525057571321688064,525056576038518785,"$MENTION$ $MENTION$ It is sad to see this news. However, at least he leaves a son who will honor him. Many soldiers die without children.",5,2,0,
reply,525061525409525760,525056576038518785,$MENTION$ RIP,0,0,3,
reply,525080429410664448,525057102306222083,$MENTION$ $MENTION$ Soldiers aren't innocent They are the complete opposite,0,0,3,
reply,525072231022333953,525056576038518785,RIP $MENTION$: Soldier killed in Canada shooting was a young reservist w/a six-year-old son $URL$ $URL$,2,0,0,
reply,525068703109758977,525056576038518785,$MENTION$ $MENTION$ heartbreaking!,1,0,3,
reply,525060851661668352,525056576038518785,$MENTION$ Prayers for his family $EMOJI$,0,2,3,
reply,525066880219115520,525056576038518785,$MENTION$ this is the real tragedy. Lovely young man doing the right thing brought down by cowardly terrorists. Shameful. $HASHTAG$,1,0,3,
reply,525080746080620544,525057571321688064,$MENTION$ $MENTION$ $MENTION$ If IS employed US NATO tactics they would have killed his son too And blamed his father for his death,0,0,3,
reply,525059328685133824,525056576038518785,Heartbreaking for $HASHTAG$ and Canada. “$MENTION$: Soldier killed in Canada shooting was a young reservist with a son $URL$,0,0,2,
reply,525062334302412800,525056576038518785,$MENTION$ $MENTION$ This is very sad. I just wish that the was a better place $SMILEY$,0,0,3,
reply,525278489721966592,525080429410664448,$MENTION$ $MENTION$ That doesn't sound incredibly cryptic........,0,0,3,
reply,525070441405095936,525056576038518785,$MENTION$ $MENTION$ RIP Nathan. $SMILEY$,4,1,3,
reply,525057102306222083,525056576038518785,$MENTION$ This world is seriously going to hell in a hand cart. I'm entirely fed up with innocent bystanders being senselessly killed.,10,5,3,
reply,525057584416292867,525056576038518785,$MENTION$ $MENTION$ the price we pay for allowing Muslim $NUMBER$th Columns to roam freely in the West. Enough.,5,2,3,
reply,525058435361292288,525056576038518785,Sad. $MENTION$ Soldier killed in Canada shooting was a young reservist with a $NUMBER$yr old son $URL$ $URL$,0,0,3,
reply,525072407321927681,525071940428771330,$MENTION$ $MENTION$ Yes it is.,1,0,0,
reply,525071940428771330,525056576038518785,$MENTION$ $MENTION$ Very sad day for his family friends and Canada. Rest in peace.,8,2,3,
reply,525057624916520960,525056576038518785,$MENTION$ $MENTION$ So sad for my great nation. I am speechless!,0,0,3,
reply,525057109910495232,525056576038518785,$MENTION$ Fuck Islam.,5,0,2,
reply,525058373591367680,525056576038518785,$MENTION$ Travel well brave soul.,0,0,3,
reply,525057081515061248,525056576038518785,"$MENTION$ RIP Nathan,, we love you",4,2,0,
source,524923676484177920,0,BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn $HASHTAG$ $URL$,41,391,0,1
reply,524925154800181248,524923676484177920,"$MENTION$ $MENTION$ lock it down! find the criminals.. wait, the buildings full of criminals! $HASHTAG$",1,0,3,
